"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"96","Jelcz-Laskowice (3)",645,751,872,1099,1160.35,1306.32,1647.1,1535.77,1554.93,1669.52,2180.23,2026.52,1963.37,2047.55,2159.54,2449.32,2637.95,3050.27
"97","Oława (2)",731,789,790,1144,1532.37,1682.23,1310.92,1394.92,1626.29,1604.86,2208.09,1973.05,2223.45,2725.94,2637.85,2648.53,3267.44,3388.35
"98","Chocianów (3)",582,708,678,871,1002.72,1132.21,1433.96,1438.31,1225.85,1262.46,1356.95,1368.61,1566.85,1561.74,1647.09,1682.62,1863.82,2070.51
"99","Gaworzyce (2)",434,413,418,479,620.02,860.13,765.8,707.94,753,955.63,1076.74,1192.77,1190.9,1837.02,1401.87,1446.57,1614.67,1692.6
"100","Grębocice (2)",880,1655,1639,1378,1545.67,1784.97,2247.45,5528.88,3803.44,4143.84,4360.68,3709.87,4514.78,3768.79,5294.24,6367.09,6703.14,6996.75
"101","Polkowice (3)",2706,2346,3305,3593,6672.38,5984.97,6314.71,5795.01,6403.03,6735.76,9176.14,7773.15,7844.84,6726.22,6136.95,7302.98,7142.84,7666.03
"102","Przemków (3)",563,638,643,787,750.23,997.77,1076.04,1019,1825.57,1169.01,1250.48,1111.09,1510.19,1210.49,1268.05,1402.34,1532.75,1711.22
"103","Radwanice (2)",724,809,783,811,1174.41,1228.91,1400.15,1930.71,1564.6,1941.51,1909.29,2855.05,2996.63,3074.93,3395.76,3538.07,3918.3,4276.46
"104","Borów (2)",550,598,563,626,655.87,784.89,1064.19,958.54,927.82,959.05,1167.86,1298.12,1263.19,1337.23,1518.25,1407.61,1506.26,1665.73
"105","Kondratowice (2)",541,535,810,592,665.38,1248.02,1240.21,1054.65,1100.94,1134.57,1370.93,1610.77,1783.83,1831.01,1671.12,1774.24,1940.21,1966.53
"106","Przeworno (2)",366,396,438,490,517.31,604.24,645.85,682.37,836.4,706.15,848.53,901.64,903.81,1122.81,1111.29,1060.57,1137.1,1288.21
"107","Strzelin (3)",698,710,882,955,1121.39,1124.21,1587.25,1594.33,1459.47,1582.08,1685.1,1838.58,2057.24,2222.38,2234.25,2342.08,2491.75,2739.2
"108","Wiązów (3)",458,549,534,544,621.19,704.73,980.23,922.84,1147.22,885.32,1061.23,1309.13,1485.29,1489.55,1587.86,1714.59,1800.91,1962.1
"109","Kostomłoty (2)",533,569,672,677,719.51,803.22,1001.6,978.48,928.93,1014.06,1240.36,1380.73,1605.94,1626.54,1445.88,1615.94,1691.96,2056.15
"110","Malczyce (2)",625,609,802,817,946.22,981.28,914.54,850.63,1261.07,1199.51,1016.16,870.8,1186.99,1265.52,1292.53,1906.22,1587.96,2170.6
"111","Miękinia (2)",673,863,792,1023,856.66,1233.56,1914.25,1384.09,1669.26,1703.98,1665.6,1978.92,2223.98,2262.13,2426.68,2585.13,3068.01,3317.35
"112","Środa Śląska (3)",991,958,1137,1264,1305.06,1664.88,1611.91,1682.24,1583.45,1831.35,2071.11,2005.24,2088.91,2216.24,2461.72,2646.22,2734.09,2935.6
"113","Udanin (2)",569,720,626,638,704.92,831.67,1059.21,994.54,1057.17,1059.33,1282.88,1505.04,1749.04,1693.62,1580.69,1663.06,1731.17,1946.19
"114","Świdnica (1)",1019,822,964,1224,1459.5,1550.49,1596.84,1378.4,1456.02,1631.29,1668.01,1872.7,1960.49,2053.63,2127.61,2540.21,2882.38,2858
"115","Świebodzice (1)",637,683,803,927,1037,1304.75,1644.97,1624.36,1621.6,1761.94,2180.47,1934.36,2011.89,2025.42,2141.52,2425.46,2438.35,2618.08
"116","Dobromierz (2)",653,660,783,805,882.41,881.88,1030.96,1090.86,1439.14,1880.49,1535.99,1789.08,1783.27,1867.93,2241.37,1807.68,1994.58,2148.63
"117","Jaworzyna Śląska (3)",478,585,623,714,721.42,837.81,1065.82,847.24,1018.82,1129.46,1235.4,1197.23,1505.46,1582.39,1610.75,1675.55,1838.41,2068.25
"118","Marcinowice (2)",466,457,566,556,793.8,980.11,1027.93,1058.81,1041.12,1048.67,1338.27,1363.53,1558.75,1565.14,1587.29,1572.46,1741.9,1956.79
"119","Strzegom (3)",764,873,971,1035,1289.65,1526.25,1475.55,1564.79,1826.78,1946.92,2005.96,2014.03,2016.22,2179.39,2174.55,2261.93,2620.95,2871.08
"120","Świdnica (2)",599,711,787,763,852.62,970.09,1123.36,1031.65,1252.9,1273.81,1374.57,1403.88,1741.52,1721.95,1787.52,1983.77,2139.96,2324.22
"121","Żarów (3)",604,854,1092,1218,996.43,1244.67,1444.99,1453.05,1462.91,1581.04,1712.65,2096.6,2203.62,2507.25,2400.5,2515.61,2958.03,2805.91
"122","Oborniki Śląskie (3)",655,763,964,911,1076.57,1400.95,1537.05,1375.61,1309.18,1341.72,1584.31,1537.15,1732.68,1806.57,1895.26,2171.73,2370.55,2547.3
"123","Prusice (3)",470,480,514,489,613.04,873.72,1125.48,1146.75,1180.72,1311.7,1041.53,1355.57,1544.09,2267.5,1606.32,1627.64,1770.96,1811.87
"124","Trzebnica (3)",558,571,688,730,861.82,1165.16,1413.58,1509.46,1716.12,1748.83,1567.62,2012.96,1825.74,1860.89,2239.22,2857.51,2373.92,2415.21
"125","Wisznia Mała (2)",723,727,737,2026,1461.78,2008.97,1636.27,1432.4,1405.83,1732.82,1593.15,1686.66,2253.81,2185.38,2258.6,2517.39,2791.78,2977.28
"126","Zawonia (2)",432,456,524,579,663.87,1101.88,975.28,1018.09,1027.14,1012.26,1088.52,1249.14,1418.9,1521.78,1554.22,1869.21,2372.82,3109.39
"127","Żmigród (3)",457,484,536,568,638.07,738.39,1016.64,944.57,1187.99,1439.69,1489.47,1737.57,1501.26,1635.28,1627.67,1850.79,2176,2041.75
"128","Boguszów-Gorce (1)",641,820,855,896,978.75,1132.27,1286.39,1189.08,1144.06,1167.3,1228.5,1391.03,1518.45,1669.25,1749.67,1794.62,1877.82,0
"129","Jedlina-Zdrój (1)",696,678,784,794,945.12,1271.21,1362.11,1610.42,1277.61,1253.01,1489.04,1559.99,1755.86,1777.83,1842.76,1823.79,2069.65,2147.37
"130","Szczawno-Zdrój (1)",2602,1269,1582,1727,1889.62,5577.04,2402.75,2563.05,3695.86,2393.17,2614.57,3256.02,2750.17,2870.89,3288.33,3341.98,3622.91,4877.51
"131","Czarny Bór (2)",659,707,838,877,940.69,1422.38,1617.92,1585.82,1771.71,1801.82,2148.61,2020.94,2388.09,2095.02,2175.49,2297.53,2329.48,2675.2
"132","Głuszyca (3)",675,743,786,745,820.78,1045.28,1175.36,1052.05,975.32,972.9,1220.46,1038.64,1130.47,1225.98,1216.6,1304.34,1433.29,1582.78
"133","Mieroszów (3)",679,751,885,980,896.61,1030.98,1109.94,1158.76,1844.86,1733.99,1875.27,1929.45,2161.67,2002.56,1909.94,1957.78,2031.98,2417.67
"134","Stare Bogaczowice (2)",607,528,606,651,736.43,951.3,942.96,1070.17,1026.49,1006.94,1149.27,1269.04,1244.03,1381.36,1334.62,1416.86,1590.52,1543.9
"135","Walim (2)",487,629,654,650,710.9,825.47,1329.84,1278.71,1208.74,1299.92,1407.35,1453.78,1621.51,1742.03,1717.03,1940.18,2139.4,2446.12
"137","Brzeg Dolny (3)",1154,1191,1279,1347,1479.41,1720.2,1932.63,1794.27,1987.39,2150.69,2241.6,2245.79,2518.11,2789.46,2509.76,2975.88,3079.32,3344.08
"138","Wińsko (2)",341,363,409,453,501.34,642.21,718.76,734.95,704.91,836.11,1048.13,969.6,1099.86,1245.11,1264.32,1332.01,1430.39,2379.22
"139","Wołów (3)",468,529,644,700,807.17,965.09,1082.86,1106.64,1065.05,1068.66,1179.28,1351.75,1479.8,1554.82,1570.78,1699.49,1879.36,2089.75
"140","Czernica (2)",765,941,724,1110,1760.18,1799.39,1438.16,1886.86,1678.34,1572.66,1681.06,1793.41,2354.2,2148.1,2405.25,2554.68,2785.4,2977.52
"141","Długołęka (2)",895,911,1045,1348,1511.76,1861.53,2155.82,1979.03,2181.92,1837.37,2387.22,2434.12,2251.43,2411.3,2761.9,3022.28,3396.7,3617.53
"142","Jordanów Śląski (2)",731,871,824,935,792.25,1291.98,1092.05,1224.57,2437.14,2007.19,1138.22,1404.14,1549.12,1701.72,1753.59,1817,2010.88,2281.36
"143","Kąty Wrocławskie (3)",878,920,1730,1205,1736.1,1863.17,2622.27,2131.64,2249.61,2155.85,2471.71,2620.23,2650.61,3084.66,3095.49,3583.93,3721.02,3851.53
"144","Kobierzyce (2)",2053,1813,6960,2684,2745.68,4332.7,4913.24,4429.01,4491.81,4453.53,5029,5182.38,5424.68,6242.12,6713.98,7568.72,7826.37,8550.96
"145","Mietków (2)",913,849,954,1081,1063.24,1292.78,1422.04,1445.16,1439.89,1867.86,2237.43,1911.38,2900.63,2371.84,2246.93,2219.06,2361.04,2574.51
"146","Sobótka (3)",834,886,837,979,1273.67,1377.02,1398.34,1527.05,1496.61,1512.48,1582.77,1770.93,2023.38,1916.51,2056.01,2318.24,2582.34,2794.67
"147","Siechnice (3)",1182,1220,1564,1487,2233.8,2518.93,2260.89,2393.73,2360.37,2448.03,2756.06,2553.96,2712.12,3449.07,3182.49,3281.76,3733.69,4087.73
"148","Żórawina (2)",592,604,704,778,1253.2,1757.14,1536.55,1380.92,1279.62,1262.01,1734.23,1666.85,1845.5,2100.05,2114.06,2286.62,2500.14,3162.53
"149","Bardo (3)",608,579,659,685,784.4,821.13,1045.75,1391.88,1653.7,949.98,1193.41,1364.92,1461.33,1470.97,1785.82,1698.19,2094.02,2321.4
"150","Ciepłowody (2)",538,624,636,754,618.26,834.92,1034.91,1164.9,956.94,2030.48,1493.24,1431.97,1427,1615.74,1808.74,1535.95,1872.31,2223.82
"151","Kamieniec Ząbkowicki (2)",476,510,657,706,739.56,977.21,1050.94,1139.51,1314.47,1445.45,1301.06,1446.78,1571.91,1663.47,1829.1,1508.58,2055.84,2082.35
