Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Mogielnica,grójecki,mazowieckie,"140,99",8773,62
gmina Mogilany,krakowski,małopolskie,"43,63",13 655,313
gmina Mogilno,mogileński,kujawsko-pomorskie,"256,2",24 864,97
gmina Mokobody,siedlecki,mazowieckie,"119,31",5019,42
gmina Mokrsko,wieluński,łódzkie,"77,68",5428,70
gmina Mońki,moniecki,podlaskie,"161,55",15 077,93
gmina Morawica,kielecki,świętokrzyskie,"140,38",16 018,114
gmina Morąg,ostródzki,warmińsko-mazurskie,"311,25",24 704,79
gmina Mordy,siedlecki,mazowieckie,"170,02",5954,35
gmina Moryń,gryfiński,zachodniopomorskie,"124,57",4331,35
gmina Morzeszczyn,tczewski,pomorskie,"91,19",3689,40
gmina Mosina,poznański,wielkopolskie,"171,43",31 704,185
gmina Moskorzew,włoszczowski,świętokrzyskie,"72,89",2761,38
gmina Moszczenica,piotrkowski,łódzkie,"111,49",12 821,115
gmina Moszczenica,gorlicki,małopolskie,"37,62",4907,130
Mrągowo,mrągowski,warmińsko-mazurskie,"14,81",21 926,1480
gmina Mrągowo,mrągowski,warmińsko-mazurskie,"295,14",7966,27
gmina Mrocza,nakielski,kujawsko-pomorskie,"150,51",9282,62
gmina Mrozy,miński,mazowieckie,"144,92",8691,60
gmina Mstów,częstochowski,śląskie,"119,57",10 783,90
gmina Mszana,wodzisławski,śląskie,"31,22",7624,244
Mszana Dolna,limanowski,małopolskie,"27,1",7941,293
gmina Mszana Dolna,limanowski,małopolskie,"170,02",17 543,103
gmina Mszczonów,żyrardowski,mazowieckie,"151,85",11 568,76
gmina Mściwojów,jaworski,dolnośląskie,"71,94",4135,57
gmina Mucharz,wadowicki,małopolskie,"37,31",4058,109
gmina Murów,opolski,opolskie,"160,02",5456,34
gmina Murowana Goślina,poznański,wielkopolskie,"172,23",16 779,97
gmina Muszyna,nowosądecki,małopolskie,"141,44",11 592,82
gmina Mycielin,kaliski,wielkopolskie,"110,89",4929,44
gmina Mykanów,częstochowski,śląskie,"141,56",15 012,106
gmina Mysłakowice,jeleniogórski,dolnośląskie,"87,98",10 293,117
Mysłowice,Mysłowice,śląskie,"65,62",74 592,1137
Myszków,myszkowski,śląskie,"73,59",32 157,437
gmina Myszyniec,ostrołęcki,mazowieckie,"228,13",10 542,46
gmina Myślenice,myślenicki,małopolskie,"153,52",43 734,285
gmina Myślibórz,myśliborski,zachodniopomorskie,"328,86",20 251,62
gmina Nadarzyn,pruszkowski,mazowieckie,"73,45",13 103,178
gmina Nagłowice,jędrzejowski,świętokrzyskie,"117,29",5026,43
gmina Nakło nad Notecią,nakielski,kujawsko-pomorskie,"186,93",32 149,172
gmina Nałęczów,puławski,lubelskie,"62,94",8974,143
gmina Namysłów,namysłowski,opolskie,"290,15",25 888,89
gmina Narew,hajnowski,podlaskie,"241,51",3595,15
gmina Narewka,hajnowski,podlaskie,"338,98",3740,11
gmina Narol,lubaczowski,podkarpackie,"203,47",8208,40
gmina Naruszewo,płoński,mazowieckie,"159,5",6413,40
gmina Nasielsk,nowodworski,mazowieckie,"205,77",19 930,97
gmina Nawojowa,nowosądecki,małopolskie,"50,21",8573,171
gmina Nekla,wrzesiński,wielkopolskie,"95,86",7451,78
gmina Nędza,raciborski,śląskie,"57,22",7405,129
gmina Nidzica,nidzicki,warmińsko-mazurskie,"378,79",21 324,56
gmina Nieborów,łowicki,łódzkie,"103,9",9401,90
gmina Niebylec,strzyżowski,podkarpackie,"104,44",10 504,101
gmina Niechanowo,gnieźnieński,wielkopolskie,"105,56",5843,55
gmina Niechlów,górowski,dolnośląskie,"151,03",5028,33
gmina Niedrzwica Duża,lubelski,lubelskie,"106,73",11 758,110
gmina Niedźwiada,lubartowski,lubelskie,"95,76",6281,66
gmina Niedźwiedź,limanowski,małopolskie,"74,22",7307,98
gmina Niegosławice,żagański,lubuskie,"136,41",4502,33
gmina Niegowa,myszkowski,śląskie,"87,96",5711,65
gmina Nielisz,zamojski,lubelskie,"112,26",5568,50
gmina Niemce,lubelski,lubelskie,"141,11",19 098,135
gmina Niemcza,dzierżoniowski,dolnośląskie,"71,86",5611,78
gmina Niemodlin,opolski,opolskie,"183,14",13 354,73
gmina Niepołomice,wielicki,małopolskie,"96,27",27 267,283
gmina Nieporęt,legionowski,mazowieckie,"96,04",14 208,148
Nieszawa,aleksandrowski,kujawsko-pomorskie,"9,79",1950,199
gmina Nisko,niżański,podkarpackie,"142,37",22 391,157
gmina Niwiska,kolbuszowski,podkarpackie,"94,86",6065,64
gmina Nowa Brzeźnica,pajęczański,łódzkie,"135,21",4645,34
gmina Nowa Dęba,tarnobrzeski,podkarpackie,"143,41",18 266,127
gmina Nowa Karczma,kościerski,pomorskie,"113,4",6806,60
Nowa Ruda,kłodzki,dolnośląskie,"37,05",22 636,611
gmina Nowa Ruda,kłodzki,dolnośląskie,"139,67",11 814,85
gmina Nowa Sarzyna,leżajski,podkarpackie,"143,73",21 662,151
gmina Nowa Słupia,kielecki,świętokrzyskie,"85,76",9559,111
Nowa Sól,nowosolski,lubuskie,"21,8",39 258,1801
gmina Nowa Sól,nowosolski,lubuskie,"175,96",6905,39
gmina Nowa Sucha,sochaczewski,mazowieckie,"90,15",6570,73
gmina Nowa Wieś Lęborska,lęborski,pomorskie,"270,45",13 540,50
gmina Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie,"148,28",9929,67
gmina Nowe,świecki,kujawsko-pomorskie,"106,71",10 450,98
gmina Nowe Brzesko,proszowicki,małopolskie,"54,42",5741,105
gmina Nowe Miasteczko,nowosolski,lubuskie,"76,86",5477,71
gmina Nowe Miasto,płoński,mazowieckie,"117,85",4677,40
Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,"11,37",11 085,975
gmina Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,"138,47",8178,59
gmina Nowe Miasto nad Pilicą,grójecki,mazowieckie,"158,51",7904,50
gmina Nowe Miasto nad Wartą,średzki,wielkopolskie,"120,07",9098,76
gmina Nowe Ostrowy,kutnowski,łódzkie,"71,55",3504,49
gmina Nowe Piekuty,wysokomazowiecki,podlaskie,"109,7",3985,36
gmina Nowe Skalmierzyce,ostrowski,wielkopolskie,"125,42",15 333,122
gmina Nowe Warpno,policki,zachodniopomorskie,"197,88",1667,8
gmina Nowinka,augustowski,podlaskie,"204,08",2920,14
gmina Nowodwór,rycki,lubelskie,"71,87",4185,58
gmina Nowogard,goleniowski,zachodniopomorskie,"338,67",24 757,73
gmina Nowogrodziec,bolesławiecki,dolnośląskie,"176,29",15 311,87
gmina Nowogród,łomżyński,podlaskie,"101,21",4068,40
gmina Nowogród Bobrzański,zielonogórski,lubuskie,"259,69",9431,36
gmina Nowogródek Pomorski,myśliborski,zachodniopomorskie,"145,9",3375,23
gmina Nowosolna,łódzki wschodni,łódzkie,"53,98",4786,89
gmina Nowy Duninów,płocki,mazowieckie,"146,23",3978,27
gmina Nowy Dwór,sokólski,podlaskie,"121,14",2726,23
gmina Nowy Dwór Gdański,nowodworski,pomorskie,"213,2",17 951,84
Nowy Dwór Mazowiecki,nowodworski,mazowieckie,"28,21",28 548,1012
gmina Nowy Kawęczyn,skierniewicki,łódzkie,"104,22",3369,32
gmina Nowy Korczyn,buski,świętokrzyskie,"116,67",6100,52
Nowy Sącz,Nowy Sącz,małopolskie,"57,58",83 993,1459
gmina Nowy Staw,malborski,pomorskie,"114,3",7626,67
Nowy Targ,nowotarski,małopolskie,"51,07",33 412,654
gmina Nowy Targ,nowotarski,małopolskie,"207,68",23 779,114
gmina Nowy Tomyśl,nowotomyski,wielkopolskie,"186,45",26 388,142
gmina Nowy Wiśnicz,bocheński,małopolskie,"82,16",13 853,169
gmina Nowy Żmigród,jasielski,podkarpackie,"103,59",9201,89
gmina Nozdrzec,brzozowski,podkarpackie,"120,77",8211,68
gmina Nur,ostrowski,mazowieckie,96,2788,29
gmina Nurzec-Stacja,siemiatycki,podlaskie,"214,9",4010,19
gmina Nysa,nyski,opolskie,"217,67",57 641,265
gmina Oborniki,obornicki,wielkopolskie,"340,04",34 045,100
gmina Oborniki Śląskie,trzebnicki,dolnośląskie,"154,26",19 995,130
gmina Obrazów,sandomierski,świętokrzyskie,"71,56",6536,91
gmina Obrowo,toruński,kujawsko-pomorskie,"162,17",15 967,98
gmina Obryte,pułtuski,mazowieckie,"139,76",4855,35
Obrzycko,szamotulski,wielkopolskie,"3,74",2356,630
gmina Obrzycko,szamotulski,wielkopolskie,"110,84",4524,41
gmina Obsza,biłgorajski,lubelskie,"113,23",4333,38
gmina Ochotnica Dolna,nowotarski,małopolskie,"141,2",8487,60
gmina Odolanów,ostrowski,wielkopolskie,"136,09",14 501,107
gmina Odrzywół,przysuski,mazowieckie,"99,13",3929,40
gmina Ogrodzieniec,zawierciański,śląskie,"84,78",9215,109
gmina Ojrzeń,ciechanowski,mazowieckie,"120,24",4327,36
gmina Okonek,złotowski,wielkopolskie,"325,99",8730,27
gmina Oksa,jędrzejowski,świętokrzyskie,"90,72",4586,51
gmina Olecko,olecki,warmińsko-mazurskie,"266,74",22 037,83
gmina Olesno,dąbrowski,małopolskie,"77,6",7910,102
gmina Olesno,oleski,opolskie,"240,9",17 841,74
gmina Oleszyce,lubaczowski,podkarpackie,"151,84",6425,42
Oleśnica,oleśnicki,dolnośląskie,"20,96",37 366,1783
gmina Oleśnica,oleśnicki,dolnośląskie,"242,85",13 132,54
gmina Oleśnica,staszowski,świętokrzyskie,"53,38",3891,73
gmina Olkusz,olkuski,małopolskie,"150,8",49 475,328
gmina Olszanica,leski,podkarpackie,"93,54",4971,53
gmina Olszanka,łosicki,mazowieckie,"87,63",3021,34
gmina Olszanka,brzeski,opolskie,"92,76",4959,53
gmina Olszewo-Borki,ostrołęcki,mazowieckie,"196,74",10 470,53
gmina Olszówka,kolski,wielkopolskie,"81,7",4576,56
Olsztyn,Olsztyn,warmińsko-mazurskie,"88,33",172 993,1958
gmina Olsztyn,częstochowski,śląskie,"109,1",7814,72
gmina Olsztynek,olsztyński,warmińsko-mazurskie,"371,51",13 883,37
gmina Olszyna,lubański,dolnośląskie,"47,12",6528,139
Oława,oławski,dolnośląskie,"27,36",32 773,1198
gmina Oława,oławski,dolnośląskie,"234,65",15 131,64
gmina Opalenica,nowotomyski,wielkopolskie,"148,91",16 391,110
gmina Opatowiec,kazimierski,świętokrzyskie,"68,58",3315,48
gmina Opatów,kłobucki,śląskie,"73,48",6820,93
gmina Opatów,opatowski,świętokrzyskie,"113,52",11 930,105
gmina Opatówek,kaliski,wielkopolskie,"104,27",10 833,104
gmina Opinogóra Górna,ciechanowski,mazowieckie,"139,04",6021,43
gmina Opoczno,łódzki wschodni,łódzkie,"190,64",34 666,182
Opole,Opole,opolskie,"148,88",128 043,860
gmina Opole Lubelskie,opolski,lubelskie,"193,72",17 507,90
gmina Oporów,kutnowski,łódzkie,"67,85",2610,38
gmina Orchowo,słupecki,wielkopolskie,"98,03",3854,39
gmina Orla,bielski,podlaskie,"159,9",2814,18
gmina Orły,przemyski,podkarpackie,"70,47",8867,126
gmina Orneta,lidzbarski,warmińsko-mazurskie,"244,23",12 201,50
gmina Ornontowice,mikołowski,śląskie,"15,45",5954,385
gmina Orońsko,szydłowiecki,mazowieckie,"81,95",5960,73
Orzesze,mikołowski,śląskie,"83,75",20 572,246
gmina Orzysz,piski,warmińsko-mazurskie,"362,57",9203,25
gmina Osie,świecki,kujawsko-pomorskie,"209,04",5461,26
gmina Osieck,otwocki,mazowieckie,"67,98",3564,52
gmina Osieczna,starogardzki,pomorskie,"122,98",2880,23
gmina Osieczna,leszczyński,wielkopolskie,"128,64",9101,71
gmina Osiecznica,bolesławiecki,dolnośląskie,"437,04",7482,17
gmina Osiek,brodnicki,kujawsko-pomorskie,75,4067,54
gmina Osiek,oświęcimski,małopolskie,"40,76",8170,200
gmina Osiek,starogardzki,pomorskie,"156,16",2439,16
gmina Osiek,staszowski,świętokrzyskie,"129,3",7764,60
gmina Osiek Jasielski,jasielski,podkarpackie,"60,4",5377,89
gmina Osiek Mały,kolski,wielkopolskie,"87,32",6056,69
gmina Osielsko,bydgoski,kujawsko-pomorskie,"101,72",13 279,131
gmina Osięciny,radziejowski,kujawsko-pomorskie,"123,12",7778,63
gmina Osina,goleniowski,zachodniopomorskie,"101,66",3048,30
gmina Osjaków,wieluński,łódzkie,"101,09",4772,47
gmina Ostaszewo,nowodworski,pomorskie,"60,7",3233,53
Ostrołęka,Ostrołęka,mazowieckie,"28,63",52 337,1828
gmina Ostroróg,szamotulski,wielkopolskie,"84,8",5006,59
gmina Ostrowice[a],drawski,zachodniopomorskie,"150,27",2522,17
Ostrowiec Świętokrzyski,ostrowiecki,świętokrzyskie,"46,43",70 554,1520
gmina Ostrowite,słupecki,wielkopolskie,"103,55",5163,50
Ostróda,ostródzki,warmińsko-mazurskie,"14,15",33 248,2350
gmina Ostróda,ostródzki,warmińsko-mazurskie,"400,89",16 078,40
gmina Ostrów,ropczycko-sędziszowski,podkarpackie,"96,19",7205,75
gmina Ostrów Lubelski,lubartowski,lubelskie,"121,58",5307,44
Ostrów Mazowiecka,ostrowski,mazowieckie,"22,27",22 704,1019
gmina Ostrów Mazowiecka,ostrowski,mazowieckie,"282,94",12 910,46
Ostrów Wielkopolski,ostrowski,wielkopolskie,"41,9",72 526,1731
gmina Ostrów Wielkopolski,ostrowski,wielkopolskie,"207,86",19 052,92
gmina Ostrówek,lubartowski,lubelskie,"89,85",3947,44
gmina Ostrówek,wieluński,łódzkie,"101,38",4563,45
gmina Ostrzeszów,ostrzeszowski,wielkopolskie,"187,39",23 911,128
gmina Ośno Lubuskie,słubicki,lubuskie,"197,64",6405,32
Oświęcim,oświęcimski,małopolskie,30,38 972,1299
gmina Oświęcim,oświęcimski,małopolskie,"74,84",18 208,243
gmina Otmuchów,nyski,opolskie,"187,4",13 746,73
Otwock,otwocki,mazowieckie,"47,31",44 912,949
gmina Otyń,nowosolski,lubuskie,"91,69",6911,75
gmina Ozimek,opolski,opolskie,"125,67",19 751,157
Ozorków,zgierski,łódzkie,"15,46",19 809,1281
gmina Ozorków,zgierski,łódzkie,"95,51",6942,73
gmina Ożarowice,tarnogórski,śląskie,"45,88",5731,125
gmina Ożarów,opatowski,świętokrzyskie,"183,29",10 911,60
gmina Ożarów Mazowiecki,warszawski zachodni,mazowieckie,"71,27",23 604,331
Pabianice,pabianicki,łódzkie,"32,99",66 265,2009
gmina Pabianice,pabianicki,łódzkie,"87,69",7105,81
gmina Pacanów,buski,świętokrzyskie,"124,58",7465,60
gmina Pacyna,gostyniński,mazowieckie,"90,29",3642,40
gmina Paczków,nyski,opolskie,"79,98",12 819,160
gmina Padew Narodowa,mielecki,podkarpackie,"71,25",5357,75
gmina Pajęczno,pajęczański,łódzkie,"113,63",11 719,103
gmina Pakosław,rawicki,wielkopolskie,"77,33",4775,62
gmina Pakosławice,nyski,opolskie,"74,05",3575,48
gmina Pakość,inowrocławski,kujawsko-pomorskie,"86,46",9850,114
gmina Pałecznica,proszowicki,małopolskie,"47,88",3661,76
gmina Panki,kłobucki,śląskie,"54,94",5092,93
gmina Papowo Biskupie,chełmiński,kujawsko-pomorskie,"70,45",4377,62
gmina Paprotnia,siedlecki,mazowieckie,"81,43",2587,32
gmina Paradyż,łódzki wschodni,łódzkie,"81,39",4440,55
gmina Parchowo,bytowski,pomorskie,"131,21",3738,28
gmina Parczew,parczewski,lubelskie,"146,8",14 690,100
gmina Parysów,garwoliński,mazowieckie,"64,15",4073,63
gmina Parzęczew,zgierski,łódzkie,"103,89",5012,48
gmina Pasłęk,elbląski,warmińsko-mazurskie,"263,91",19 516,74
gmina Pasym,szczycieński,warmińsko-mazurskie,"149,2",5391,36
gmina Paszowice,jaworski,dolnośląskie,"101,28",3980,39
gmina Pawłosiów,jarosławski,podkarpackie,"47,42",8412,177
gmina Pawłowice,pszczyński,śląskie,"75,68",18 116,239
gmina Pawłowiczki,kędzierzyńsko-kozielski,opolskie,"153,53",7682,50
gmina Pawłów,starachowicki,świętokrzyskie,"137,37",15 251,111
gmina Pawonków,lubliniecki,śląskie,"118,93",6658,56
gmina Pątnów,wieluński,łódzkie,"114,61",6559,57
gmina Pcim,myślenicki,małopolskie,"88,96",10 965,123
gmina Pelplin,tczewski,pomorskie,"141,02",16 482,117
gmina Pełczyce,choszczeński,zachodniopomorskie,"200,72",7935,40
gmina Perlejewo,siemiatycki,podlaskie,"106,54",2900,27
gmina Perzów,kępiński,wielkopolskie,"75,33",3789,50
gmina Pęcław,głogowski,dolnośląskie,"64,27",2299,36
gmina Pęczniew,poddębicki,łódzkie,"127,79",3512,27
gmina Pępowo,gostyński,wielkopolskie,"86,59",5998,69
gmina Piaseczno,piaseczyński,mazowieckie,"128,26",81 207,633
gmina Piaski,świdnicki,lubelskie,"169,86",10 545,62
gmina Piaski,gostyński,wielkopolskie,"100,73",8636,86
Piastów,pruszkowski,mazowieckie,"5,76",22 731,3946
gmina Piątek,łęczycki,łódzkie,"133,18",6112,46
gmina Piątnica,łomżyński,podlaskie,"219,06",10 692,49
Piechowice,jeleniogórski,dolnośląskie,"43,22",6363,147
gmina Piecki,mrągowski,warmińsko-mazurskie,"314,48",7710,25
Piekary Śląskie,Piekary Śląskie,śląskie,"39,98",55 954,1400
gmina Piekoszów,kielecki,świętokrzyskie,"102,97",16 338,159
gmina Pielgrzymka,złotoryjski,dolnośląskie,"104,85",4637,44
gmina Pieniężno,braniewski,warmińsko-mazurskie,"242,94",6405,26
gmina Pieńsk,zgorzelecki,dolnośląskie,"110,53",9218,83
gmina Pierzchnica,kielecki,świętokrzyskie,"104,7",4781,46
gmina Pieszyce,dzierżoniowski,dolnośląskie,"63,61",9633,151
gmina Pietrowice Wielkie,raciborski,śląskie,"67,93",6939,102
gmina Pilawa,garwoliński,mazowieckie,"77,1",10 924,142
gmina Pilchowice,gliwicki,śląskie,"69,83",11 698,168
gmina Pilica,zawierciański,śląskie,"142,71",8725,61
gmina Pilzno,dębicki,podkarpackie,"165,13",18 072,109
Piła,pilski,wielkopolskie,"102,68",73 987,721
Piława Górna,dzierżoniowski,dolnośląskie,"20,93",6569,314
gmina Pińczów,pińczowski,świętokrzyskie,"212,82",21 088,99
Pionki,radomski,mazowieckie,"18,4",18 732,1018
gmina Pionki,radomski,mazowieckie,"229,73",10 031,44
gmina Piotrków Kujawski,radziejowski,kujawsko-pomorskie,"138,67",9393,68
Piotrków Trybunalski,Piotrków Trybunalski,łódzkie,"67,24",74 694,1111
gmina Pisz,piski,warmińsko-mazurskie,"633,7",27 911,44
gmina Piszczac,bialski,lubelskie,"170,19",7355,43
gmina Piwniczna-Zdrój,nowosądecki,małopolskie,"126,46",10 658,84
gmina Platerów,łosicki,mazowieckie,"129,49",4974,38
gmina Platerówka,lubański,dolnośląskie,"47,9",1616,34
gmina Pleszew,pleszewski,wielkopolskie,"180,33",30 070,167
gmina Pleśna,tarnowski,małopolskie,"83,06",11 982,144
gmina Płaska,augustowski,podlaskie,"372,67",2616,7
Płock,Płock,mazowieckie,"88,04",121 295,1378
gmina Płoniawy-Bramura,makowski,mazowieckie,"134,85",5558,41
Płońsk,płoński,mazowieckie,"11,6",22 279,1921
gmina Płońsk,płoński,mazowieckie,"126,91",7784,61
gmina Płoskinia,braniewski,warmińsko-mazurskie,"169,93",2562,15
gmina Płośnica,działdowski,warmińsko-mazurskie,"163,23",5709,35
gmina Płoty,gryficki,zachodniopomorskie,"239,19",8957,37
gmina Płużnica,wąbrzeski,kujawsko-pomorskie,"120,38",4870,40
gmina Pniewy,grójecki,mazowieckie,"102,32",4750,46
gmina Pniewy,szamotulski,wielkopolskie,"158,47",12 558,79
gmina Pobiedziska,poznański,wielkopolskie,"189,58",19 302,102
gmina Poczesna,częstochowski,śląskie,"59,98",12 762,213
gmina Poddębice,poddębicki,łódzkie,"224,54",15 747,70
gmina Podedwórze,parczewski,lubelskie,"107,13",1686,16
gmina Podegrodzie,nowosądecki,małopolskie,"64,73",12 959,200
gmina Podgórzyn,jeleniogórski,dolnośląskie,"82,51",8297,101
Podkowa Leśna,grodziski,mazowieckie,"10,13",3853,380
gmina Pogorzela,gostyński,wielkopolskie,"96,54",5045,52
gmina Pokój,namysłowski,opolskie,"132,91",5293,40
gmina Pokrzywnica,pułtuski,mazowieckie,"120,54",4974,41
Polanica-Zdrój,kłodzki,dolnośląskie,"17,22",6486,377
gmina Polanka Wielka,oświęcimski,małopolskie,"23,89",4303,180
gmina Polanów,koszaliński,zachodniopomorskie,"393,35",8867,23
gmina Police,policki,zachodniopomorskie,"251,71",41 543,165
gmina Policzna,zwoleński,mazowieckie,"112,52",5639,50
gmina Polkowice,polkowicki,dolnośląskie,"167,65",27 443,164
gmina Polska Cerekiew,kędzierzyńsko-kozielski,opolskie,"60,12",4123,69
gmina Połajewo,czarnkowsko-trzcianecki,wielkopolskie,"141,46",6214,44
gmina Połaniec,staszowski,świętokrzyskie,"75,01",11 941,159
gmina Połczyn-Zdrój,świdwiński,zachodniopomorskie,"344,28",15 531,45
gmina Pomiechówek,nowodworski,mazowieckie,"102,68",9034,88
gmina Poniatowa,opolski,lubelskie,"84,54",14 527,172
gmina Poniec,gostyński,wielkopolskie,"131,93",7808,59
gmina Popielów,opolski,opolskie,"175,49",8115,46
gmina Popów,kłobucki,śląskie,"102,29",5968,58
gmina Poraj,myszkowski,śląskie,"57,06",10 948,192
gmina Porąbka,bielski,śląskie,"64,43",15 501,241
Poręba,zawierciański,śląskie,"39,99",8664,217
gmina Poronin,tatrzański,małopolskie,"83,62",11 517,138
gmina Postomino,sławieński,zachodniopomorskie,"226,86",6988,31
gmina Poświętne,łódzki wschodni,łódzkie,"140,81",3239,23
gmina Poświętne,wołomiński,mazowieckie,"103,95",6185,59
gmina Poświętne,białostocki,podlaskie,"114,58",3488,30
gmina Potęgowo,słupski,pomorskie,"228,46",7031,31
gmina Potok Górny,biłgorajski,lubelskie,"111,16",5517,50
gmina Potok Wielki,janowski,lubelskie,"99,44",4753,48
gmina Potworów,przysuski,mazowieckie,"81,7",4285,52
gmina Powidz,słupecki,wielkopolskie,"80,69",2304,29
gmina Pozezdrze,węgorzewski,warmińsko-mazurskie,"176,78",3307,19
Poznań,Poznań,wielkopolskie,"261,91",540 372,2063
gmina Prabuty,kwidzyński,pomorskie,"197,13",13 205,67
gmina Praszka,oleski,opolskie,"103,03",13 694,133
gmina Prażmów,piaseczyński,mazowieckie,"86,47",10 616,123
gmina Prochowice,legnicki,dolnośląskie,"102,51",7486,73
gmina Promna,białobrzeski,mazowieckie,"120,26",5557,46
gmina Prostki,ełcki,warmińsko-mazurskie,"231,08",7463,32
gmina Proszowice,proszowicki,małopolskie,"100,02",16 261,163
gmina Prószków,opolski,opolskie,"118,26",9113,77
gmina Pruchnik,jarosławski,podkarpackie,"80,34",9807,122
gmina Prudnik,prudnicki,opolskie,"122,26",27 510,225
gmina Prusice,trzebnicki,dolnośląskie,"157,98",9346,59
gmina Pruszcz,świecki,kujawsko-pomorskie,"142,49",9635,68
Pruszcz Gdański,gdański,pomorskie,"16,47",30 106,1828
gmina Pruszcz Gdański,gdański,pomorskie,"143,8",28 001,195
Pruszków,pruszkowski,mazowieckie,"19,19",60 866,3172
Przasnysz,przasnyski,mazowieckie,"25,16",17 289,687
gmina Przasnysz,przasnyski,mazowieckie,"184,13",7298,40
gmina Przechlewo,człuchowski,pomorskie,"243,97",6350,26
gmina Przeciszów,oświęcimski,małopolskie,"35,46",6726,190
gmina Przecław,mielecki,podkarpackie,"134,19",11 833,88
gmina Przedbórz,radomszczański,łódzkie,"189,7",7263,38
gmina Przedecz,kolski,wielkopolskie,"76,45",4236,55
gmina Przelewice,pyrzycki,zachodniopomorskie,"162,01",5259,32
gmina Przemęt,wolsztyński,wielkopolskie,"225,14",14 076,63
gmina Przemków,polkowicki,dolnośląskie,"107,45",8555,80
Przemyśl,Przemyśl,podkarpackie,"46,17",62 154,1346
gmina Przemyśl,przemyski,podkarpackie,"108,43",10 541,97
gmina Przerośl,suwalski,podlaskie,"123,62",2978,24
gmina Przesmyki,siedlecki,mazowieckie,"117,25",3287,28
gmina Przeworno,strzeliński,dolnośląskie,"111,97",4861,43
Przeworsk,przeworski,podkarpackie,"22,13",15 527,702
gmina Przeworsk,przeworski,podkarpackie,"90,8",14 859,164
gmina Przewóz,żarski,lubuskie,"178,32",3208,18
gmina Przodkowo,kartuski,pomorskie,"85,18",8969,105
gmina Przybiernów,goleniowski,zachodniopomorskie,"228,87",5098,22
gmina Przygodzice,ostrowski,wielkopolskie,"163,39",12 012,74
gmina Przykona,turecki,wielkopolskie,"110,92",4471,40
gmina Przyłęk,zwoleński,mazowieckie,"131,57",6283,48
gmina Przyrów,częstochowski,śląskie,"80,4",3833,48
gmina Przystajń,kłobucki,śląskie,"88,83",5903,66
gmina Przysucha,przysuski,mazowieckie,"181,86",12 107,67
gmina Przytoczna,międzyrzecki,lubuskie,"184,82",5708,31
gmina Przytuły,łomżyński,podlaskie,"71,15",2167,30
gmina Przytyk,radomski,mazowieckie,"134,37",7307,54
gmina Przywidz,gdański,pomorskie,"129,34",5836,45
gmina Psary,będziński,śląskie,"46,16",11 966,259
gmina Pszczew,międzyrzecki,lubuskie,"177,67",4300,24
gmina Pszczółki,gdański,pomorskie,"50,12",9235,184
gmina Pszczyna,pszczyński,śląskie,"174,73",52 207,299
Pszów,wodzisławski,śląskie,"20,44",14 186,694
gmina Puchaczów,łęczyński,lubelskie,"91,53",5558,61
Puck,pucki,pomorskie,"4,79",11 303,2360
gmina Puck,pucki,pomorskie,"237,38",25 712,108
Puławy,puławski,lubelskie,"50,49",48 408,959
gmina Puławy,puławski,lubelskie,"161,19",12 009,75
gmina Pułtusk,pułtuski,mazowieckie,"134,13",24 479,183
gmina Puńsk,sejneński,podlaskie,"138,59",4184,30
gmina Purda,olsztyński,warmińsko-mazurskie,"318,12",8612,27
gmina Puszcza Mariańska,żyrardowski,mazowieckie,"143,18",8601,60
Puszczykowo,poznański,wielkopolskie,"16,39",9728,594
gmina Pyrzyce,pyrzycki,zachodniopomorskie,"204,22",19 627,96
Pyskowice,gliwicki,śląskie,"30,89",18 412,596
gmina Pysznica,stalowowolski,podkarpackie,"146,69",10 822,74
gmina Pyzdry,wrzesiński,wielkopolskie,"137,82",7096,51
gmina Raba Wyżna,nowotarski,małopolskie,"89,02",14 591,164
gmina Rabka-Zdrój,nowotarski,małopolskie,"69,16",17 272,250
gmina Rachanie,tomaszowski,lubelskie,"94,3",5275,56
Raciąż,płoński,mazowieckie,"8,4",4472,532
gmina Raciąż,płoński,mazowieckie,"242,89",8528,35
gmina Raciążek,aleksandrowski,kujawsko-pomorskie,"32,88",3151,96
Racibórz,raciborski,śląskie,"75,01",55 404,739
gmina Raciechowice,myślenicki,małopolskie,"61,15",6281,103
gmina Racławice,miechowski,małopolskie,"59,11",2485,42
gmina Raczki,suwalski,podlaskie,"142,24",6004,42
gmina Radecznica,zamojski,lubelskie,"109,95",5889,54
gmina Radgoszcz,dąbrowski,małopolskie,"88,1",7412,84
gmina Radków,kłodzki,dolnośląskie,"139,95",9155,65
gmina Radków,włoszczowski,świętokrzyskie,"88,1",2530,29
Radlin,wodzisławski,śląskie,"12,53",17 874,1426
gmina Radłów,tarnowski,małopolskie,"86,19",9765,113
gmina Radłów,oleski,opolskie,"116,87",4377,37
Radom,Radom,mazowieckie,"111,8",215 020,1923
gmina Radomin,golubsko-dobrzyński,kujawsko-pomorskie,"80,81",3872,48
Radomsko,radomszczański,łódzkie,"51,43",46 583,906
gmina Radomsko,radomszczański,łódzkie,"85,63",5668,66
